VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Time Duration
1,1/4/2015 13:44,1/4/2015 13:56,1,2.5,0,0,1,N,0,0,credit card,11,0,0.5,2.35,0,0,14.15,0:12
2,1/4/2015 13:44,1/4/2015 13:46,1,0.36,-73.99124908,40.76546097,1,N,-73.98753357,40.76840973,cash,3.5,0,0.5,0,0,0.3,4.3,0:02
2,1/4/2015 13:44,1/4/2015 13:56,3,3.14,-73.97794342,40.68487167,1,N,-73.99649048,40.72550964,credit card,12.5,0,0.5,2.5,0,0.3,15.8,0:12
2,1/4/2015 13:44,1/4/2015 13:53,1,1.14,-73.99095154,40.75080872,1,N,-73.97940826,40.74126053,credit card,7,0,0.5,1.4,0,0.3,9.2,0:09
2,1/4/2015 13:44,1/4/2015 14:04,1,8.98,-73.8710022,40.77379227,1,N,-73.96136475,40.77004242,credit card,27,0,0.5,0,5.33,0.3,33.13,0:20
2,1/4/2015 13:44,1/4/2015 13:49,1,0.85,0,0,1,N,0,0,cash,5.5,0,0.5,0,0,0.3,6.3,0:05
1,1/4/2015 13:44,1/4/2015 13:49,2,0.7,-73.99473572,40.74009323,1,N,-73.9983139,40.7362442,cash,5,0,0.5,0,0,0,5.8,0:05
1,1/4/2015 13:44,1/4/2015 13:51,3,1.5,-74.01420593,40.71208954,1,N,-74.00109863,40.72412872,cash,7.5,0,0.5,0,0,0,8.3,0:07
2,1/4/2015 13:44,1/4/2015 13:55,2,1.26,-73.97955322,40.76626587,1,N,-73.98338318,40.75531387,cash,8.5,0,0.5,0,0,0.3,9.3,0:11
2,1/4/2015 13:44,1/4/2015 13:51,1,1.56,-73.95778656,40.77458572,1,N,-73.97223663,40.75688553,credit card,7,0,0.5,1,0,0.3,8.8,0:07
1,1/4/2015 13:44,1/4/2015 13:53,1,1.5,-73.96940613,40.7985878,1,N,-73.97188568,40.78194046,credit card,8,0,0.5,1.75,0,0,10.55,0:09
1,1/4/2015 13:44,1/4/2015 13:50,1,1.1,-73.96797943,40.80213547,1,N,-73.97768402,40.78726578,credit card,6.5,0,0.5,2,0,0,9.3,0:06
1,1/4/2015 13:44,1/4/2015 13:47,1,0.5,-73.96251678,40.7700386,1,N,-73.96773529,40.76285553,credit card,4,0,0.5,1,0,0,5.8,0:03
2,1/4/2015 13:44,1/4/2015 14:02,2,8.79,-73.96420288,40.77336884,1,N,-73.87063599,40.77383423,credit card,26,0,0.5,4,5.33,0.3,36.13,0:18
